"idhod","hodnota","stapro_kod","pohlavi_cis","pohlavi_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","casref_do","pohlavi_txt","vek_txt","vuzemi_txt"
"738925968","55776","2406","102","1",,,"101","40665","2014-12-31","muž",,"Jihlava"
"738935261","649245","2406","102","1",,,"100","3026","2014-12-31","muž",,"Středočeský kraj"
"738947654","79102","2406","102","1",,,"101","40185","2014-12-31","muž",,"Kladno"
"738960094","31506","2406","102","1",,,"101","40380","2014-12-31","muž",,"Plzeň-jih"
"738960494","42862","2406","102","1",,,"101","40487","2014-12-31","muž",,"Louny"
"738960589","64075","2406","102","1",,,"101","40509","2014-12-31","muž",,"Teplice"
"738970385","610376","2406","102","1",,,"100","3018","2014-12-31","muž",,"Hlavní město Praha"
"738970826","286361","2406","102","1",,,"100","3131","2014-12-31","muž",,"Zlínský kraj"
"738971828","23855","2406","102","1",,,"101","40401","2014-12-31","muž",,"Rokycany"
"738948949","50682","2406","102","1",,,"101","40525","2014-12-31","muž",,"Česká Lípa"
