datum,muzi,zeny,pomer
2020-12-31,185967,196438,0.9466956495179141
2019-12-31,184925,196421,0.9414726531277205
2018-12-31,184048,196633,0.9359975182192206
2017-12-31,183300,196227,0.934122215597242
2016-12-31,182549,195424,0.9341176109382675
2015-12-31,181890,195138,0.9321095839867171
2014-12-31,181885,195555,0.9300963923192964
2013-12-31,181963,195545,0.9305428418011199
2012-12-31,182418,195909,0.931136394958884
2011-12-31,182733,196232,0.9312089771291124
2010-12-31,178567,192804,0.926158170992303
